run_id,scenario,regime,delay,depth,attempted,accepted,unauthorized_accepted,invalid_grants,budget_excess,post_revocation,unsafe_accepted,legitimate_opportunities,legitimate_completed,legitimate_blocked,false_hold_blocks,reports,resolved,resolution_latency,unresolved,spent
revoked_pending-hierarchy-d6-h3,revoked_pending,hierarchy,6,3,3,1,0,0,0,0,0,1,1,0,0,0,0,,0,10
revoked_pending-review-d0-h1,revoked_pending,review,0,1,3,1,0,0,0,0,0,1,1,0,0,0,0,,0,10
revoked_pending-review-d0-h3,revoked_pending,review,0,3,3,1,0,0,0,0,0,1,1,0,0,0,0,,0,10
revoked_pending-review-d2-h1,revoked_pending,review,2,1,3,1,0,0,0,0,0,1,1,0,0,0,0,,0,10
revoked_pending-review-d2-h3,revoked_pending,review,2,3,3,1,0,0,0,0,0,1,1,0,0,0,0,,0,10
revoked_pending-review-d6-h1,revoked_pending,review,6,1,3,1,0,0,0,0,0,1,1,0,0,0,0,,0,10
revoked_pending-review-d6-h3,revoked_pending,review,6,3,3,1,0,0,0,0,0,1,1,0,0,0,0,,0,10
missing_input-log-d0-h1,missing_input,log,0,1,20,10,0,0,0,0,0,20,10,10,0,1,0,,1,10
missing_input-log-d0-h3,missing_input,log,0,3,20,10,0,0,0,0,0,20,10,10,0,1,0,,1,10
missing_input-log-d2-h1,missing_input,log,2,1,20,10,0,0,0,0,0,20,10,10,0,1,0,,1,10
missing_input-log-d2-h3,missing_input,log,2,3,20,10,0,0,0,0,0,20,10,10,0,1,0,,1,10
missing_input-log-d6-h1,missing_input,log,6,1,20,10,0,0,0,0,0,20,10,10,0,1,0,,1,10
missing_input-log-d6-h3,missing_input,log,6,3,20,10,0,0,0,0,0,20,10,10,0,1,0,,1,10
missing_input-local-d0-h1,missing_input,local,0,1,20,10,0,0,0,0,0,20,10,10,0,1,0,,1,10
missing_input-local-d0-h3,missing_input,local,0,3,20,10,0,0,0,0,0,20,10,10,0,1,0,,1,10
missing_input-local-d2-h1,missing_input,local,2,1,20,10,0,0,0,0,0,20,10,10,0,1,0,,1,10
missing_input-local-d2-h3,missing_input,local,2,3,20,10,0,0,0,0,0,20,10,10,0,1,0,,1,10
missing_input-local-d6-h1,missing_input,local,6,1,20,10,0,0,0,0,0,20,10,10,0,1,0,,1,10
missing_input-local-d6-h3,missing_input,local,6,3,20,10,0,0,0,0,0,20,10,10,0,1,0,,1,10
missing_input-hierarchy-d0-h1,missing_input,hierarchy,0,1,20,10,0,0,0,0,0,20,10,10,0,1,0,,1,10
missing_input-hierarchy-d0-h3,missing_input,hierarchy,0,3,20,10,0,0,0,0,0,20,10,10,0,1,0,,1,10
missing_input-hierarchy-d2-h1,missing_input,hierarchy,2,1,20,10,0,0,0,0,0,20,10,10,0,1,0,,1,10
missing_input-hierarchy-d2-h3,missing_input,hierarchy,2,3,20,10,0,0,0,0,0,20,10,10,0,1,0,,1,10
